cohort,endpoint,panel,p0,status,n_patients,n_events,n_sites,n_genes,div_A,div_B,hits_A,hits_B,sigma_site_mean,ICC_site_mean,ICC_site_lo,ICC_site_hi,ICC_genomic_mean,ICC_genomic_lo,ICC_genomic_hi,ICC_residual_mean,ICC_residual_lo,ICC_residual_hi,minutes,cindex_A,cindex_B,cindex_gap,cv_scheme
SARC,PFI,hallmark,10,ok,259.0,138.0,34.0,3852.0,0.0,0.0,0.0,0.0,0.5288870532227099,0.0990291945919519,0.0117118539804464,0.2335134798331578,0.4146745368636804,0.2243512649126341,0.5834772635982399,0.4862962685443676,0.3108808673083781,0.6833584864159209,30.3,0.5698680221152131,0.5662118780096308,-0.0036561441055823,preserved5
SKCM,PFI,-,10,skip_low_events(37),,,,,,,,,,,,,,,,,,,,,,,
SKCM,OS,-,10,skip_low_events(29),,,,,,,,,,,,,,,,,,,,,,,
STAD,PFI,hallmark,10,ok,390.0,132.0,22.0,3918.0,3.0,2.0,0.0,0.0,0.546981109411768,0.1632015143278134,0.0359706851723598,0.346011430310099,0.1476693452117219,0.0502422574493763,0.2611119337843509,0.6891291404604646,0.5216461408955999,0.835716664065514,49.8,0.5747059205823097,0.5673945538441542,-0.0073113667381555,preserved5
STAD,OS,hallmark,10,ok,388.0,156.0,22.0,3918.0,3.0,2.0,0.0,0.0,0.5142077716198354,0.148105753035487,0.0202323655690397,0.3446258748068352,0.0915565492250834,0.0121923996673049,0.193357545238114,0.7603376977394296,0.5730918859915124,0.9126647707125648,48.4,0.5653277301751897,0.5589696010478633,-0.0063581291273263,preserved5
TGCT,PFI,-,10,skip_low_events(35),,,,,,,,,,,,,,,,,,,,,,,
TGCT,OS,-,10,skip_low_events(4),,,,,,,,,,,,,,,,,,,,,,,
THCA,PFI,hallmark,10,ok,504.0,52.0,22.0,3678.0,1.0,0.0,0.0,0.0,0.911253459481501,0.2635095432043386,0.0796764996302513,0.4886966064867311,0.0923582945074797,0.000879418347972,0.2458321640709683,0.6441321622881816,0.4385390277271415,0.8359883013979073,47.3,0.6102805763189254,0.614451305384032,0.0041707290651066,preserved5
THCA,OS,-,10,skip_low_events(16),,,,,,,,,,,,,,,,,,,,,,,
THYM,PFI,-,10,skip_low_events(21),,,,,,,,,,,,,,,,,,,,,,,
THYM,OS,-,10,skip_low_events(9),,,,,,,,,,,,,,,,,,,,,,,
UCEC,PFI,hallmark,10,ok,543.0,124.0,31.0,3857.0,3.0,1.0,0.0,0.0,0.1714761105385236,0.0199535227568769,8.018460556942473e-05,0.072415379342974,0.2510141123642444,0.1316132766851909,0.3723441751042978,0.7290323648788787,0.6111452671560563,0.8458634140977904,55.4,0.6194505094614265,0.6193367903930131,-0.0001137190684133,preserved5
UCEC,OS,hallmark,10,ok,543.0,91.0,31.0,3857.0,2.0,2.0,1.0,1.0,0.4094100787311823,0.1122998878755577,0.0158017125415499,0.2479494535898277,0.2058094714961025,0.1093431298396791,0.3177103288295723,0.6818906406283397,0.5573779985172609,0.7967304954652773,50.9,0.6556632757561275,0.6605106847818666,0.0048474090257391,preserved5
UCS,PFI,-,10,skip_low_events(37),,,,,,,,,,,,,,,,,,,,,,,
UCS,OS,-,10,skip_low_events(35),,,,,,,,,,,,,,,,,,,,,,,
UVM,PFI,-,10,skip_low_events(29),,,,,,,,,,,,,,,,,,,,,,,
UVM,OS,-,10,skip_low_events(23),,,,,,,,,,,,,,,,,,,,,,,
